GOP,layer, Y-PSNR, bits
115,6,38.380,22305
115,7,39.473,27850
115,8,40.640,34181
116,1,33.606,13830
116,2,34.182,6063
116,3,35.200,10338
116,4,36.300,13805
116,5,37.247,16775
116,6,38.298,22739
116,7,39.401,28110
116,8,40.571,34636
117,1,33.249,17388
117,2,33.868,7478
117,3,34.855,12028
117,4,35.936,16391
117,5,36.932,20377
117,6,37.971,26840
117,7,39.080,33379
117,8,40.280,41478
118,1,33.536,15277
118,2,34.135,6770
118,3,35.131,11086
118,4,36.188,14526
118,5,37.183,18362
118,6,38.222,23620
118,7,39.334,29705
118,8,40.511,36734
119,1,33.600,12750
119,2,34.171,6079
119,3,35.154,9965
119,4,36.224,13758
119,5,37.180,16768
119,6,38.202,22550
119,7,39.296,28878
119,8,40.451,35613
120,1,33.693,11933
120,2,34.273,5764
120,3,35.232,9386
120,4,36.283,12840
120,5,37.224,15599
120,6,38.255,21480
120,7,39.336,26419
120,8,40.476,33259
121,1,32.708,25669
121,2,33.384,10132
121,3,34.398,15972
121,4,35.504,21272
121,5,36.521,25012
121,6,37.614,32816
121,7,38.786,39622
121,8,40.015,46920
122,1,30.600,26908
122,2,31.514,13212
122,3,32.677,20453
122,4,33.873,27089
122,5,34.989,33191
122,6,36.237,44274
122,7,37.549,55462
122,8,38.835,67330
123,1,30.682,24336
123,2,31.626,12121
123,3,32.737,18591
123,4,33.975,25445
123,5,35.057,30447
123,6,36.290,41518
123,7,37.567,52418
123,8,38.852,64773
124,1,30.428,26096
124,2,31.370,13144
124,3,32.498,20096
124,4,33.729,27057
124,5,34.848,33132
124,6,36.077,43843
124,7,37.349,55038
124,8,38.681,67775
125,1,30.464,25239
125,2,31.399,13063
125,3,32.540,19757
125,4,33.751,26300
125,5,34.832,31900
125,6,36.055,43065
125,7,37.335,55149
125,8,38.676,67331
126,1,30.358,26912
126,2,31.297,13581
126,3,32.422,20562
126,4,33.654,27899
126,5,34.746,33661
126,6,35.979,45233
126,7,37.263,56923
126,8,38.568,69007
127,1,30.210,28070
127,2,31.156,14061
127,3,32.292,21726
127,4,33.518,29127
127,5,34.627,35077
127,6,35.874,47517
127,7,37.169,59158
127,8,38.447,72169
128,1,30.222,28343
128,2,31.163,14497
128,3,32.284,21507
128,4,33.514,29331
128,5,34.594,35134
128,6,35.838,47152
128,7,37.138,59703
128,8,38.426,71704
129,1,30.227,27706
129,2,31.164,14101
129,3,32.293,21627
129,4,33.508,29228
129,5,34.611,35366
129,6,35.855,47056
129,7,37.132,59185
129,8,38.417,71391
130,1,30.074,29813
130,2,31.009,14957
130,3,32.157,23099
130,4,33.365,30773
130,5,34.455,37271
130,6,35.713,49872
130,7,37.004,62043
130,8,38.286,75569
131,1,30.311,24678
131,2,31.238,13252
131,3,32.385,20342
131,4,33.564,27088
131,5,34.657,33358
131,6,35.857,44264
131,7,37.134,56579
131,8,38.409,69682
132,1,29.237,50210
132,2,30.315,20469
132,3,31.501,29488
132,4,32.793,37820
132,5,33.916,42030
132,6,35.272,55467
132,7,36.692,66205
132,8,38.038,73515
133,1,28.686,24279
133,2,29.805,11618
133,3,31.054,16955
133,4,32.407,22184
133,5,33.558,25601
133,6,35.003,35069
133,7,36.516,42446
133,8,37.895,48410
134,1,28.545,26902
134,2,29.649,13346
134,3,30.867,19348
134,4,32.206,26004
134,5,33.366,30300
134,6,34.793,41068
134,7,36.286,49558
134,8,37.689,57177
135,1,28.338,31440
135,2,29.417,15747
135,3,30.645,23373
135,4,31.991,31182
135,5,33.176,36110
135,6,34.610,48637
135,7,36.116,58201
135,8,37.537,66701
136,1,28.204,33572
136,2,29.311,16903
136,3,30.568,24859
136,4,31.929,32366
136,5,33.149,38147
136,6,34.593,48709
136,7,36.134,58665
136,8,37.582,66199
137,1,28.079,37868
137,2,29.143,18565
137,3,30.383,27862
137,4,31.771,36851
137,5,33.010,42942
137,6,34.441,55136
137,7,35.979,66673
137,8,37.439,75516
138,1,28.016,40625
138,2,29.036,19765
138,3,30.279,30463
138,4,31.633,39228
138,5,32.888,46457
138,6,34.311,59741
138,7,35.850,72237
138,8,37.314,82448
139,1,28.042,40326
139,2,29.058,19955
139,3,30.292,30140
139,4,31.640,39937
139,5,32.884,47131
139,6,34.315,60280
139,7,35.851,73512
139,8,37.319,84123
140,1,28.228,37343
140,2,29.278,18328
140,3,30.477,26831
140,4,31.851,36378
140,5,33.056,41917
140,6,34.502,55184
140,7,36.029,66575
140,8,37.479,76439
141,1,28.519,31692
141,2,29.617,15006
141,3,30.837,21921
141,4,32.207,28997
141,5,33.397,33508
141,6,34.824,43940
141,7,36.331,52835
141,8,37.752,60573
142,1,28.559,30281
142,2,29.680,13553
142,3,30.944,20588
142,4,32.341,26854
142,5,33.554,31178
142,6,34.998,40578
142,7,36.538,48222
142,8,37.968,54116
143,1,28.403,31321
143,2,29.496,14850
143,3,30.720,22065
143,4,32.088,29175
143,5,33.282,33950
143,6,34.692,44255
143,7,36.218,53862
143,8,37.662,61439
144,1,28.068,38176
144,2,29.075,19188
144,3,30.280,28588
144,4,31.613,38123
144,5,32.815,45091
144,6,34.217,58768
144,7,35.728,71873
144,8,37.190,83766
145,1,27.858,42594
145,2,28.858,21542
145,3,30.058,32500
145,4,31.392,43428
145,5,32.594,50769
145,6,33.993,66443
145,7,35.504,81152
145,8,37.003,94018
146,1,27.850,42705
146,2,28.856,21793
146,3,30.082,32806
146,4,31.415,43454
146,5,32.621,50584
